step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,txn_timestamp,txn_date,hour_of_day,transaction_id
98,CASH_OUT,907825.43,C1004468,908259.54,0.0,M1008758,65609.12,973434.55,1,0,DEV_495,2025-01-05 02:54:00,2025-01-05,2,TXN_100312
16,CASH_OUT,215633.81,C1012370,215775.71,0.0,C2001005,57094.91,272728.72,1,0,DEV_494,2025-01-01 16:48:00,2025-01-01,16,TXN_100045
13,PAYMENT,80.39,C1021771,133.43,53.04,M1014427,0.0,0.0,0,0,DEV_635,2025-01-01 13:19:00,2025-01-01,13,TXN_100396
101,CASH_OUT,137026.38,C1017803,137801.73,0.0,M1006722,82157.66,219184.04,1,0,DEV_371,2025-01-05 05:31:00,2025-01-05,5,TXN_100288
123,TRANSFER,1336.75,C1017999,1367.53,30.78,M1011754,49360.62,50697.37,0,0,DEV_766,2025-01-06 03:20:00,2025-01-06,3,TXN_100601
2,CASH_OUT,352067.55,C1002111,353344.69,0.0,C2008534,89469.52,441537.06,1,1,DEV_270,2025-01-01 02:35:00,2025-01-01,2,TXN_100236
28,PAYMENT,54.62,C1021839,77.65,23.03,M1011155,26890.54,26890.54,0,0,DEV_245,2025-01-02 04:01:00,2025-01-02,4,TXN_100200
28,CASH_OUT,406.14,C1019208,2753.78,2347.65,M1005731,15076.08,15482.21,0,0,DEV_733,2025-01-02 04:53:00,2025-01-02,4,TXN_100335
535,CASH_OUT,3945.83,C1010174,31108.84,27163.01,C2010499,0.0,3945.83,0,0,DEV_596,2025-01-23 07:45:00,2025-01-23,7,TXN_100326
548,CASH_IN,673.2,C1005315,0.0,673.2,C2011887,0.0,673.2,0,0,DEV_811,2025-01-23 20:52:00,2025-01-23,20,TXN_100605
403,PAYMENT,188.03,C1010205,970.7,782.67,M1003967,0.0,0.0,0,0,DEV_952,2025-01-17 19:39:00,2025-01-17,19,TXN_100639
163,CASH_OUT,325364.11,C1015046,327960.97,0.0,M1004988,73479.55,398843.66,1,1,DEV_717,2025-01-07 19:53:00,2025-01-07,19,TXN_100131
40,PAYMENT,134.85,C1002049,930.39,795.54,C2014728,17203.7,17203.7,0,0,DEV_191,2025-01-02 16:16:00,2025-01-02,16,TXN_100268
119,CASH_OUT,126578.19,C1028059,126983.32,0.0,M1002830,18403.56,144981.74,1,0,DEV_682,2025-01-05 23:30:00,2025-01-05,23,TXN_100243
405,CASH_OUT,914.83,C1012541,2933.24,2018.41,C2004289,17720.0,18634.83,0,0,DEV_924,2025-01-17 21:10:00,2025-01-17,21,TXN_100648
222,TRANSFER,2481.87,C1028167,9810.31,7328.44,M1008588,44573.16,47055.03,0,0,DEV_509,2025-01-10 06:41:00,2025-01-10,6,TXN_100284
397,PAYMENT,31.17,C1000056,0.0,0.0,M1000712,13789.33,13789.33,0,0,DEV_784,2025-01-17 13:32:00,2025-01-17,13,TXN_100322
403,CASH_OUT,634.87,C1027108,1862.76,1227.9,C2008791,20750.63,21385.5,0,0,DEV_308,2025-01-17 19:49:00,2025-01-17,19,TXN_100111
699,CASH_OUT,414594.22,C1025655,417209.32,0.0,M1014349,49795.81,464390.03,1,0,DEV_689,2025-01-30 03:19:00,2025-01-30,3,TXN_100561
447,PAYMENT,16.58,C1015399,49.16,32.58,C2012690,0.0,0.0,0,0,DEV_118,2025-01-19 15:23:00,2025-01-19,15,TXN_100414
96,TRANSFER,1302.9,C1028483,2100.98,798.08,C2001856,36978.65,38281.54,0,0,DEV_301,2025-01-05 00:43:00,2025-01-05,0,TXN_100240
303,TRANSFER,2846.64,C1010837,13436.85,10590.21,M1014472,13322.8,16169.44,0,0,DEV_187,2025-01-13 15:39:00,2025-01-13,15,TXN_100629
109,TRANSFER,1118.42,C1010579,8636.99,7518.57,C2008011,49390.36,50508.78,0,0,DEV_373,2025-01-05 13:13:00,2025-01-05,13,TXN_100089
17,PAYMENT,52.47,C1006995,0.0,0.0,M1005708,26210.29,26210.29,0,0,DEV_841,2025-01-01 17:19:00,2025-01-01,17,TXN_100153
207,TRANSFER,5893.02,C1003678,19465.79,13572.77,C2003036,5851.86,11744.88,0,0,DEV_320,2025-01-09 15:32:00,2025-01-09,15,TXN_100178
148,TRANSFER,354351.53,C1025269,358751.01,0.0,M1014469,4932.03,359283.56,1,0,DEV_217,2025-01-07 04:02:00,2025-01-07,4,TXN_100346
546,CASH_OUT,1751.59,C1024015,2610.59,859.0,M1010227,45053.62,46805.21,0,0,DEV_452,2025-01-23 18:53:00,2025-01-23,18,TXN_100257
388,TRANSFER,910025.02,C1016337,912301.44,0.0,C2006010,90222.85,1000247.87,1,0,DEV_747,2025-01-17 04:01:00,2025-01-17,4,TXN_100018
492,CASH_OUT,1403.39,C1026329,10570.79,9167.39,C2009309,192.12,1595.51,0,0,DEV_323,2025-01-21 12:34:00,2025-01-21,12,TXN_100487
536,PAYMENT,141.0,C1007836,839.24,698.25,C2010648,1248.62,1248.62,0,0,DEV_130,2025-01-23 08:12:00,2025-01-23,8,TXN_100367
47,PAYMENT,148.0,C1024300,0.0,0.0,C2003707,15454.4,15454.4,0,0,DEV_539,2025-01-02 23:37:00,2025-01-02,23,TXN_100524
42,PAYMENT,185.41,C1010571,1378.09,1192.68,M1004351,46343.78,46343.78,0,0,DEV_433,2025-01-02 18:49:00,2025-01-02,18,TXN_100147
162,PAYMENT,63.32,C1015151,0.0,0.0,M1013594,27718.62,27718.62,0,0,DEV_920,2025-01-07 18:45:00,2025-01-07,18,TXN_100094
510,CASH_OUT,590602.15,C1024514,591914.81,0.0,M1003283,1790.96,592393.11,1,0,DEV_340,2025-01-22 06:09:00,2025-01-22,6,TXN_100434
728,CASH_OUT,2425.84,C1008631,20002.72,17576.88,C2002727,5953.68,8379.52,0,0,DEV_325,2025-01-31 08:37:00,2025-01-31,8,TXN_100582
165,PAYMENT,163.53,C1009437,1163.69,1000.15,M1010939,0.0,0.0,0,0,DEV_504,2025-01-07 21:01:00,2025-01-07,21,TXN_100609
328,CASH_OUT,514692.57,C1013753,516106.72,0.0,M1008628,96934.27,611626.84,1,0,DEV_569,2025-01-14 16:55:00,2025-01-14,16,TXN_100117
356,CASH_OUT,3135.01,C1012551,17156.98,14021.97,C2004602,47570.31,50705.32,0,0,DEV_952,2025-01-15 20:19:00,2025-01-15,20,TXN_100494
381,TRANSFER,939.02,C1019268,0.0,0.0,M1004968,21522.3,22461.32,0,0,DEV_902,2025-01-16 21:56:00,2025-01-16,21,TXN_100285
184,TRANSFER,121.56,C1023660,508.07,386.51,M1009232,17077.51,17199.06,0,0,DEV_833,2025-01-08 16:18:00,2025-01-08,16,TXN_100374
449,CASH_OUT,155369.13,C1010788,158194.04,0.0,C2000571,26628.18,181997.3,1,0,DEV_831,2025-01-19 17:59:00,2025-01-19,17,TXN_100203
588,PAYMENT,283.4,C1024436,0.0,0.0,M1013201,0.0,0.0,0,0,DEV_547,2025-01-25 12:20:00,2025-01-25,12,TXN_100503
208,CASH_OUT,104114.68,C1012593,106854.95,0.0,C2002485,4022.58,108137.26,1,0,DEV_161,2025-01-09 16:04:00,2025-01-09,16,TXN_100351
117,TRANSFER,2423.15,C1023103,4451.39,2028.25,M1004460,34438.18,36861.33,0,0,DEV_584,2025-01-05 21:00:00,2025-01-05,21,TXN_100331
454,CASH_OUT,637157.19,C1007399,638050.51,0.0,M1014192,45733.7,682890.89,1,0,DEV_211,2025-01-19 22:58:00,2025-01-19,22,TXN_100522
95,CASH_IN,104.86,C1019877,738.97,843.83,C2004027,17437.86,17542.72,0,0,DEV_479,2025-01-04 23:31:00,2025-01-04,23,TXN_100512
320,TRANSFER,3580.88,C1013422,10872.89,7292.01,C2004274,0.0,3580.88,0,0,DEV_352,2025-01-14 08:48:00,2025-01-14,8,TXN_100469
526,PAYMENT,424.51,C1004423,2072.8,1648.29,M1006004,4499.39,4499.39,0,0,DEV_145,2025-01-22 22:05:00,2025-01-22,22,TXN_100155
311,CASH_OUT,26.82,C1016594,259.33,232.51,M1002205,0.0,26.82,0,0,DEV_629,2025-01-13 23:10:00,2025-01-13,23,TXN_100286
328,CASH_IN,752.27,C1024914,3398.3,4150.58,M1014066,0.0,752.27,0,0,DEV_110,2025-01-14 16:53:00,2025-01-14,16,TXN_100056
12,CASH_OUT,1157.29,C1005015,5150.05,3992.76,M1010995,0.0,1157.29,0,0,DEV_695,2025-01-01 12:22:00,2025-01-01,12,TXN_100010
42,CASH_OUT,135.18,C1016420,1037.94,902.76,C2011146,37841.02,37976.2,0,0,DEV_258,2025-01-02 18:27:00,2025-01-02,18,TXN_100533
141,CASH_OUT,745324.32,C1020626,747687.35,0.0,C2001104,11789.51,757113.83,1,0,DEV_422,2025-01-06 21:32:00,2025-01-06,21,TXN_100292
31,TRANSFER,2262.81,C1013391,14037.38,11774.57,M1010321,0.0,2262.81,0,0,DEV_170,2025-01-02 07:50:00,2025-01-02,7,TXN_100188
387,TRANSFER,410334.84,C1015440,413826.46,0.0,M1004558,43603.72,453938.56,1,0,DEV_262,2025-01-17 03:38:00,2025-01-17,3,TXN_100223
632,PAYMENT,457.51,C1016507,3270.19,2812.68,M1013141,0.0,0.0,0,0,DEV_532,2025-01-27 08:04:00,2025-01-27,8,TXN_100316
584,CASH_OUT,1785.31,C1004746,13929.44,12144.14,C2000430,0.0,1785.31,0,0,DEV_282,2025-01-25 08:58:00,2025-01-25,8,TXN_100586
71,CASH_OUT,586697.11,C1024364,589899.57,0.0,M1001944,94543.98,681241.08,1,0,DEV_245,2025-01-03 23:35:00,2025-01-03,23,TXN_100170
305,CASH_OUT,133.5,C1002811,1256.15,1122.65,C2010076,15982.01,16115.51,0,0,DEV_169,2025-01-13 17:34:00,2025-01-13,17,TXN_100427
484,TRANSFER,428.86,C1023393,0.0,0.0,M1012127,48976.1,49404.96,0,0,DEV_832,2025-01-21 04:20:00,2025-01-21,4,TXN_100225
188,TRANSFER,318517.56,C1027278,322751.9,0.0,M1012197,2816.79,321334.36,1,0,DEV_478,2025-01-08 20:54:00,2025-01-08,20,TXN_100029
707,TRANSFER,2135.7,C1008051,16885.48,14749.78,C2004958,45809.07,47944.77,0,0,DEV_287,2025-01-30 11:02:00,2025-01-30,11,TXN_100119
7,CASH_OUT,760.7,C1027875,0.0,0.0,C2000772,0.0,760.7,0,0,DEV_134,2025-01-01 07:56:00,2025-01-01,7,TXN_100413
541,TRANSFER,1047.26,C1012063,6656.29,5609.03,C2001441,0.0,1047.26,0,0,DEV_840,2025-01-23 13:17:00,2025-01-23,13,TXN_100578
330,CASH_OUT,928.84,C1022109,8308.41,7379.58,C2003815,40667.94,41596.78,0,0,DEV_779,2025-01-14 18:35:00,2025-01-14,18,TXN_100647
158,PAYMENT,173.0,C1003117,0.0,0.0,M1003951,0.0,0.0,0,0,DEV_890,2025-01-07 14:12:00,2025-01-07,14,TXN_100520
462,TRANSFER,1027.48,C1006959,6696.35,5668.87,C2000027,5766.47,6793.95,0,0,DEV_406,2025-01-20 06:33:00,2025-01-20,6,TXN_100008
652,CASH_IN,609.09,C1002296,3646.78,4255.86,M1009456,12064.44,12673.53,0,0,DEV_316,2025-01-28 04:49:00,2025-01-28,4,TXN_100307
574,CASH_OUT,78030.43,C1013058,82975.25,0.0,C2005965,12909.99,90940.42,1,1,DEV_257,2025-01-24 22:38:00,2025-01-24,22,TXN_100403
133,CASH_IN,603.13,C1022208,0.0,603.13,M1007287,21454.26,22057.39,0,0,DEV_959,2025-01-06 13:24:00,2025-01-06,13,TXN_100590
131,PAYMENT,41.28,C1015848,276.15,234.86,M1012498,16310.12,16310.12,0,0,DEV_639,2025-01-06 11:47:00,2025-01-06,11,TXN_100033
378,PAYMENT,119.28,C1007035,306.27,186.99,C2001110,20511.3,20511.3,0,0,DEV_275,2025-01-16 18:48:00,2025-01-16,18,TXN_100600
335,TRANSFER,503280.17,C1008996,506324.89,0.0,M1005270,27700.51,530980.68,1,0,DEV_755,2025-01-14 23:26:00,2025-01-14,23,TXN_100559
352,PAYMENT,108.63,C1023895,0.0,0.0,C2004997,9023.95,9023.95,0,0,DEV_297,2025-01-15 16:45:00,2025-01-15,16,TXN_100615
435,CASH_OUT,365976.79,C1008595,366104.7,0.0,C2003023,68163.84,434140.62,1,0,DEV_933,2025-01-19 03:46:00,2025-01-19,3,TXN_100183
343,CASH_OUT,229.34,C1028856,0.0,0.0,C2000730,0.0,229.34,0,0,DEV_882,2025-01-15 07:02:00,2025-01-15,7,TXN_100511
232,PAYMENT,239.89,C1010051,1354.1,1114.21,M1001200,37772.53,37772.53,0,0,DEV_709,2025-01-10 16:26:00,2025-01-10,16,TXN_100298
334,TRANSFER,139037.02,C1017165,143749.56,0.0,M1009352,22726.72,161763.74,1,0,DEV_400,2025-01-14 22:16:00,2025-01-14,22,TXN_100244
591,CASH_OUT,212.85,C1008869,1239.42,1026.58,C2003396,0.0,212.85,0,0,DEV_625,2025-01-25 15:35:00,2025-01-25,15,TXN_100138
8,TRANSFER,1251.56,C1008070,0.0,0.0,C2012539,43025.81,44277.38,0,0,DEV_940,2025-01-01 08:01:00,2025-01-01,8,TXN_100141
399,PAYMENT,16.17,C1021278,0.0,0.0,M1005998,24709.07,24709.07,0,0,DEV_192,2025-01-17 15:08:00,2025-01-17,15,TXN_100632
612,TRANSFER,2844.01,C1008633,8155.32,5311.31,M1001821,34322.23,37166.23,0,0,DEV_471,2025-01-26 12:34:00,2025-01-26,12,TXN_100478
305,TRANSFER,930.37,C1003991,9280.45,8350.08,M1004507,25808.02,26738.39,0,0,DEV_510,2025-01-13 17:18:00,2025-01-13,17,TXN_100052
159,TRANSFER,872616.88,C1004356,874396.14,0.0,M1014847,22743.28,895360.16,1,0,DEV_916,2025-01-07 15:19:00,2025-01-07,15,TXN_100549
564,CASH_OUT,742107.77,C1008899,742827.86,0.0,C2006288,49849.74,791957.5,1,0,DEV_237,2025-01-24 12:02:00,2025-01-24,12,TXN_100101
197,CASH_OUT,418172.4,C1008898,422582.05,0.0,M1012948,32329.54,450501.94,1,0,DEV_472,2025-01-09 05:48:00,2025-01-09,5,TXN_100593
272,PAYMENT,422.37,C1008938,3548.67,3126.3,M1006281,47851.55,47851.55,0,0,DEV_601,2025-01-12 08:09:00,2025-01-12,8,TXN_100214
27,PAYMENT,23.93,C1025107,0.0,0.0,C2014979,42194.9,42194.9,0,0,DEV_809,2025-01-02 03:42:00,2025-01-02,3,TXN_100152
536,PAYMENT,38.03,C1011922,142.54,104.5,M1002088,0.0,0.0,0,0,DEV_638,2025-01-23 08:25:00,2025-01-23,8,TXN_100391
629,TRANSFER,796382.26,C1016458,798962.45,0.0,C2011201,68363.33,864745.59,1,1,DEV_998,2025-01-27 05:05:00,2025-01-27,5,TXN_100384
731,CASH_IN,568.45,C1004707,0.0,568.45,C2001455,40827.7,41396.15,0,0,DEV_913,2025-01-31 11:29:00,2025-01-31,11,TXN_100126
105,CASH_IN,1679.93,C1006586,10051.11,11731.04,C2014609,0.0,1679.93,0,0,DEV_981,2025-01-05 09:43:00,2025-01-05,9,TXN_100264
257,TRANSFER,229819.77,C1008750,234231.93,0.0,C2009483,45949.23,275769.0,1,0,DEV_290,2025-01-11 17:04:00,2025-01-11,17,TXN_100349
73,TRANSFER,2332.46,C1006345,2840.12,507.66,M1003491,6998.34,9330.8,0,0,DEV_618,2025-01-04 01:26:00,2025-01-04,1,TXN_100490
509,CASH_OUT,509356.25,C1026258,512935.74,0.0,C2000410,72907.14,582263.39,1,0,DEV_422,2025-01-22 05:30:00,2025-01-22,5,TXN_100321
242,PAYMENT,56.63,C1012552,162.99,106.36,C2011995,0.0,0.0,0,0,DEV_564,2025-01-11 02:11:00,2025-01-11,2,TXN_100258
642,CASH_IN,107.5,C1015571,981.37,1088.86,C2004925,36573.97,36681.47,0,0,DEV_431,2025-01-27 18:10:00,2025-01-27,18,TXN_100306
450,CASH_OUT,215.45,C1001175,1744.7,1529.25,M1013256,30434.02,30649.47,0,0,DEV_715,2025-01-19 18:11:00,2025-01-19,18,TXN_100135
432,CASH_OUT,654.51,C1019706,1053.46,398.95,C2012999,39578.84,40233.35,0,0,DEV_599,2025-01-19 00:02:00,2025-01-19,0,TXN_100007
243,CASH_OUT,260581.74,C1027138,262439.31,0.0,M1004796,92603.53,353185.27,1,0,DEV_748,2025-01-11 03:29:00,2025-01-11,3,TXN_100261
428,PAYMENT,348.47,C1018968,1502.26,1153.79,C2000446,0.0,0.0,0,0,DEV_209,2025-01-18 20:17:00,2025-01-18,20,TXN_100024
313,PAYMENT,52.54,C1011144,277.15,224.6,M1005083,0.0,0.0,0,0,DEV_310,2025-01-14 01:08:00,2025-01-14,1,TXN_100460
481,CASH_OUT,2331.7,C1004719,16278.87,13947.17,M1000173,0.0,2331.7,0,0,DEV_953,2025-01-21 01:31:00,2025-01-21,1,TXN_100505
90,CASH_IN,544.9,C1010443,2426.33,2971.22,C2013832,0.0,544.9,0,0,DEV_105,2025-01-04 18:50:00,2025-01-04,18,TXN_100489
280,CASH_OUT,1500.31,C1023072,0.0,0.0,C2007169,0.0,1500.31,0,0,DEV_353,2025-01-12 16:30:00,2025-01-12,16,TXN_100398
304,CASH_OUT,523.59,C1003283,4936.18,4412.6,M1010151,0.0,523.59,0,0,DEV_527,2025-01-13 16:23:00,2025-01-13,16,TXN_100638
254,CASH_OUT,79.66,C1012743,780.15,700.5,C2009122,0.0,79.66,0,0,DEV_388,2025-01-11 14:36:00,2025-01-11,14,TXN_100159
281,CASH_OUT,3239.19,C1014519,0.0,0.0,C2011748,39639.35,42878.54,0,0,DEV_597,2025-01-12 17:57:00,2025-01-12,17,TXN_100504
144,CASH_OUT,1271.81,C1016251,4899.71,3627.9,M1008319,43333.66,44605.46,0,0,DEV_416,2025-01-07 00:14:00,2025-01-07,0,TXN_100256
666,PAYMENT,107.97,C1008824,740.8,632.83,M1008290,0.0,0.0,0,0,DEV_272,2025-01-28 18:46:00,2025-01-28,18,TXN_100341
205,CASH_OUT,259.52,C1018714,0.0,0.0,C2007563,0.0,259.52,0,0,DEV_339,2025-01-09 13:45:00,2025-01-09,13,TXN_100407
682,PAYMENT,463.25,C1022906,0.0,0.0,C2012450,26607.53,26607.53,0,0,DEV_994,2025-01-29 10:29:00,2025-01-29,10,TXN_100066
43,TRANSFER,760.79,C1003664,6329.47,5568.68,C2010036,28185.16,28945.95,0,0,DEV_584,2025-01-02 19:15:00,2025-01-02,19,TXN_100182
389,CASH_OUT,109893.92,C1025943,112915.28,0.0,C2000298,43083.42,152977.34,1,0,DEV_667,2025-01-17 05:54:00,2025-01-17,5,TXN_100112
575,PAYMENT,8.08,C1007898,31.3,23.22,C2007375,0.0,0.0,0,0,DEV_980,2025-01-24 23:53:00,2025-01-24,23,TXN_100386
182,PAYMENT,290.54,C1018364,1012.97,722.43,C2007651,5450.64,5450.64,0,0,DEV_953,2025-01-08 14:34:00,2025-01-08,14,TXN_100289
613,TRANSFER,2625.73,C1009802,0.0,0.0,C2006058,23864.37,26490.09,0,0,DEV_506,2025-01-26 13:00:00,2025-01-26,13,TXN_100378
637,PAYMENT,115.48,C1028058,0.0,0.0,M1005940,6828.94,6828.94,0,0,DEV_512,2025-01-27 13:31:00,2025-01-27,13,TXN_100314
523,PAYMENT,259.95,C1014354,1242.25,982.3,C2013304,28091.52,28091.52,0,0,DEV_187,2025-01-22 19:33:00,2025-01-22,19,TXN_100519
741,CASH_OUT,51.64,C1020037,468.02,416.39,C2011131,27591.2,27642.83,0,0,DEV_217,2025-01-31 21:23:00,2025-01-31,21,TXN_100428
85,TRANSFER,1172.69,C1019882,4310.82,3138.13,C2003545,0.0,1172.69,0,0,DEV_233,2025-01-04 13:02:00,2025-01-04,13,TXN_100387
84,PAYMENT,345.41,C1017030,0.0,0.0,M1002967,31812.75,31812.75,0,0,DEV_734,2025-01-04 12:54:00,2025-01-04,12,TXN_100136
121,PAYMENT,55.4,C1022529,0.0,0.0,C2006644,0.0,0.0,0,0,DEV_306,2025-01-06 01:14:00,2025-01-06,1,TXN_100030
314,CASH_OUT,80.15,C1016097,339.76,259.61,M1014421,0.0,80.15,0,0,DEV_914,2025-01-14 02:11:00,2025-01-14,2,TXN_100146
205,PAYMENT,20.6,C1021848,0.0,0.0,C2005542,46177.05,46177.05,0,0,DEV_937,2025-01-09 13:43:00,2025-01-09,13,TXN_100579
251,PAYMENT,66.95,C1026061,553.95,487.0,M1010849,0.0,0.0,0,0,DEV_808,2025-01-11 11:24:00,2025-01-11,11,TXN_100608
733,PAYMENT,519.28,C1019002,4046.55,3527.27,M1011437,0.0,0.0,0,0,DEV_903,2025-01-31 13:45:00,2025-01-31,13,TXN_100242
153,PAYMENT,74.9,C1012015,509.69,434.79,C2009552,0.0,0.0,0,0,DEV_490,2025-01-07 09:31:00,2025-01-07,9,TXN_100210
642,CASH_OUT,2162.27,C1003948,12196.5,10034.23,C2008480,23263.01,25425.28,0,0,DEV_830,2025-01-27 18:57:00,2025-01-27,18,TXN_100079
548,CASH_OUT,4206.56,C1026348,35675.9,31469.34,M1005767,25326.64,29533.2,0,0,DEV_349,2025-01-23 20:15:00,2025-01-23,20,TXN_100142
726,TRANSFER,87.79,C1025130,0.0,0.0,M1005132,12566.8,12654.59,0,0,DEV_575,2025-01-31 06:03:00,2025-01-31,6,TXN_100283
216,CASH_OUT,3926.67,C1026531,11296.55,7369.88,M1002424,48169.56,52096.23,0,0,DEV_297,2025-01-10 00:34:00,2025-01-10,0,TXN_100330
25,CASH_OUT,953972.62,C1011909,954285.12,0.0,C2010731,67686.56,1021659.17,1,0,DEV_230,2025-01-02 01:10:00,2025-01-02,1,TXN_100540
266,CASH_OUT,220486.8,C1016962,222340.16,0.0,M1004105,80844.07,301330.86,1,0,DEV_875,2025-01-12 02:04:00,2025-01-12,2,TXN_100572
22,CASH_OUT,2115.83,C1005798,20777.29,18661.46,C2013161,33872.25,35988.07,0,0,DEV_802,2025-01-01 22:27:00,2025-01-01,22,TXN_100420
404,CASH_OUT,71.2,C1002960,506.09,434.89,M1001976,0.0,71.2,0,0,DEV_426,2025-01-17 20:42:00,2025-01-17,20,TXN_100557
288,TRANSFER,467998.15,C1012368,472916.69,0.0,C2011091,55234.89,523233.03,1,0,DEV_721,2025-01-13 00:17:00,2025-01-13,0,TXN_100031
564,CASH_OUT,1575.04,C1014125,5815.73,4240.69,M1014503,0.0,1575.04,0,0,DEV_318,2025-01-24 12:30:00,2025-01-24,12,TXN_100560
387,CASH_OUT,168.55,C1008669,1104.46,935.92,C2003753,46132.75,46301.3,0,0,DEV_137,2025-01-17 03:47:00,2025-01-17,3,TXN_100229
137,TRANSFER,2453.41,C1025530,0.0,0.0,M1009802,35117.62,37571.03,0,0,DEV_311,2025-01-06 17:05:00,2025-01-06,17,TXN_100297
540,CASH_OUT,645.38,C1027392,0.0,0.0,C2007409,0.0,645.38,0,0,DEV_859,2025-01-23 12:37:00,2025-01-23,12,TXN_100118
156,PAYMENT,185.19,C1013765,0.0,0.0,M1009989,0.0,0.0,0,0,DEV_521,2025-01-07 12:27:00,2025-01-07,12,TXN_100472
266,PAYMENT,27.4,C1018614,0.0,0.0,C2012085,21715.73,21715.73,0,0,DEV_445,2025-01-12 02:31:00,2025-01-12,2,TXN_100528
293,CASH_IN,167.31,C1006816,234.84,402.15,M1002431,0.0,167.31,0,0,DEV_859,2025-01-13 05:37:00,2025-01-13,5,TXN_100364
334,CASH_OUT,7884.03,C1021602,0.0,0.0,C2002395,23444.37,31328.4,0,0,DEV_241,2025-01-14 22:15:00,2025-01-14,22,TXN_100281
84,PAYMENT,105.79,C1004147,236.84,131.04,C2001990,34116.52,34116.52,0,0,DEV_213,2025-01-04 12:11:00,2025-01-04,12,TXN_100449
49,CASH_OUT,992904.48,C1002802,995152.46,0.0,C2001025,90891.72,1083796.2,1,1,DEV_763,2025-01-03 01:24:00,2025-01-03,1,TXN_100197
119,CASH_OUT,74804.2,C1017570,78618.69,0.0,C2008027,81077.85,155882.05,1,0,DEV_704,2025-01-05 23:13:00,2025-01-05,23,TXN_100184
84,CASH_OUT,121613.34,C1003528,122655.36,0.0,M1008189,17521.32,139134.65,1,0,DEV_956,2025-01-04 12:39:00,2025-01-04,12,TXN_100333
559,PAYMENT,44.34,C1009388,336.15,291.81,M1001816,41333.7,41333.7,0,0,DEV_364,2025-01-24 07:13:00,2025-01-24,7,TXN_100616
23,TRANSFER,359.16,C1029400,2025.4,1666.25,M1005593,26859.35,27218.51,0,0,DEV_446,2025-01-01 23:28:00,2025-01-01,23,TXN_100554
